Country	Company Name	Industry
Vietnam	NhaTrangPack Co., Ltd.	Consumer Goods
Malaysia	KuantanFlex Industries	Packaging Equipment
Canada	CalgaryPac Inc.	Pharmaceuticals
USA	MinnesotaPack LLC	Industrial Manufacturing
UK	LeedsPack Ltd.	Chemicals
Ireland	DonegalFlex Ltd.	Electronics
Germany	KarlsruhePack GmbH	Consumer Goods
France	RennesFlex S.A.	Industrial Manufacturing
Italy	FlorencePack S.p.A.	Food & Beverage
Netherlands	ArnhemPack BV	Pharmaceuticals
Belgium	BrusselsFlex NV	Chemicals
Poland	ToruńPak Sp. z o.o.	Electronics
Czech Republic	CeskeBudejovicePack s.r.o.	Automotive Parts
China	ShaPack Ltd.	Food & Beverage
Vietnam	VungTauPack Co., Ltd.	Consumer Goods
Malaysia	KlangPack Industries	Packaging Equipment
Canada	OttawaWrap Inc.	Pharmaceuticals
USA	TexasPack LLC	Industrial Manufacturing
UK	NewcastlePack Ltd.	Chemicals
Ireland	SligoFlex Ltd.	Electronics
Germany	DresdenFlex GmbH	Consumer Goods
France	GrenoblePack S.A.	Industrial Manufacturing
Italy	NaplesWrap S.p.A.	Food & Beverage
Netherlands	EnschedePack BV	Pharmaceuticals
Belgium	LeuvenPac NV	Chemicals
Poland	SzczecinPak Sp. z o.o.	Electronics
Czech Republic	OstravaWrap s.r.o.	Automotive Parts
China	QingPack Ltd.	Food & Beverage
Vietnam	PhuQuocPack Co., Ltd.	Consumer Goods
Malaysia	PahangFlex Industries	Packaging Equipment
Canada	MontrealPac Inc.	Pharmaceuticals
USA	IllinoisPack LLC	Industrial Manufacturing
UK	BirminghamPack Ltd.	Chemicals
Ireland	ClonmelFlex Ltd.	Electronics
Germany	HeidelbergPack GmbH	Consumer Goods
France	LilleFlex S.A.	Industrial Manufacturing
Italy	GenoaPack S.p.A.	Food & Beverage
Netherlands	GroningenPack BV	Pharmaceuticals
Belgium	AntwerpFlex NV	Chemicals
Poland	LublinPak Sp. z o.o.	Electronics
Czech Republic	HradecKralovePack s.r.o.	Automotive Parts
China	WinPack Ltd.	Food & Beverage
Vietnam	HuePack Co., Ltd.	Consumer Goods
Malaysia	PerakPack Industries	Packaging Equipment
Canada	EdmontonWrap Inc.	Pharmaceuticals
USA	FloridaFlex LLC	Industrial Manufacturing
UK	CardiffPack Ltd.	Chemicals
Ireland	KilkennyFlex Ltd.	Electronics
Germany	BremenFlex GmbH	Consumer Goods
France	NantesPack S.A.	Industrial Manufacturing
Italy	PalermoWrap S.p.A.	Food & Beverage
Netherlands	ZwollePack BV	Pharmaceuticals
Belgium	GentFlex NV	Chemicals
Poland	BydgoszczPak Sp. z o.o.	Electronics
Czech Republic	LiberecWrap s.r.o.	Automotive Parts
China	GoldPack Ltd.	Food & Beverage
Vietnam	QuyNhơnPack Co., Ltd.	Consumer Goods
Malaysia	KelantanFlex Industries	Packaging Equipment
Canada	WinnipegPac Inc.	Pharmaceuticals
USA	IndianaPack LLC	Industrial Manufacturing
UK	NottinghamPack Ltd.	Chemicals
Ireland	DroghedaFlex Ltd.	Electronics
Germany	KasselPack GmbH	Consumer Goods
France	MetzFlex S.A.	Industrial Manufacturing
Italy	TurinPack S.p.A.	Food & Beverage
Netherlands	TilburgPack BV	Pharmaceuticals
Belgium	LuxembourgPack NV	Chemicals
Poland	BiałystokPak Sp. z o.o.	Electronics
Czech Republic	Ústí nad LabemWrap s.r.o.	Automotive Parts
China	TopPack Ltd.	Food & Beverage
Vietnam	NhaTrangWrap Co., Ltd.	Consumer Goods
Malaysia	SabahPack Industries	Packaging Equipment
Canada	HalifaxWrap Inc.	Pharmaceuticals
USA	ColoradoFlex LLC	Industrial Manufacturing
UK	BelfastPack Ltd.	Chemicals
Ireland	WexfordFlex Ltd.	Electronics
Germany	WürzburgFlex GmbH	Consumer Goods
France	ClermontPack S.A.	Industrial Manufacturing
Italy	BariWrap S.p.A.	Food & Beverage
Netherlands	AlmerePack BV	Pharmaceuticals
Belgium	BrugesFlex NV	Chemicals
Poland	GdyniaPak Sp. z o.o.	Electronics
Czech Republic	PlzenPack s.r.o.	Automotive Parts
China	PrimePack Ltd.	Food & Beverage
Vietnam	DaNangWrap Co., Ltd.	Consumer Goods
Malaysia	SarawakFlex Industries	Packaging Equipment
Canada	VictoriaPac Inc.	Pharmaceuticals
USA	ArkansasPack LLC	Industrial Manufacturing
UK	BristolFlex Ltd.	Chemicals
Ireland	BelfastPack Ltd.	Electronics
Germany	MannheimPack GmbH	Consumer Goods
France	ReimsFlex S.A.	Industrial Manufacturing
Italy	MilanWrap S.p.A.	Food & Beverage
Netherlands	ApeldoornPack BV	Pharmaceuticals
Belgium	LouvainPac NV	Chemicals
Poland	KielcePak Sp. z o.o.	Electronics
Czech Republic	OlomoucWrap s.r.o.	Automotive Parts
China	BluePack Ltd.	Food & Beverage
Vietnam	CầnThơPack Co., Ltd.	Consumer Goods
Malaysia	PutrajayaPack Industries	Packaging Equipment
Canada	ReginaWrap Inc.	Pharmaceuticals
USA	WisconsinPack LLC	Industrial Manufacturing
UK	LeicesterPack Ltd.	Chemicals
Ireland	LaoisFlex Ltd.	Electronics
Germany	RostockFlex GmbH	Consumer Goods
France	BesançonPack S.A.	Industrial Manufacturing
Italy	VeronaPack S.p.A.	Food & Beverage
Netherlands	VenloPack BV	Pharmaceuticals
Belgium	MechelenFlex NV	Chemicals
Poland	RzeszówPak Sp. z o.o.	Electronics
Czech Republic	České BudějoviceWrap s.r.o.	Automotive Parts
China	QuickPack Ltd.	Food & Beverage
Vietnam	Đà NẵngPack Co., Ltd.	Consumer Goods
Malaysia	JohorBahruFlex Industries	Packaging Equipment
Canada	SaskatoonPac Inc.	Pharmaceuticals
USA	AlabamaPack LLC	Industrial Manufacturing
UK	BournemouthPack Ltd.	Chemicals
Ireland	CavanFlex Ltd.	Electronics
Germany	KielPack GmbH	Consumer Goods
France	OrléansFlex S.A.	Industrial Manufacturing
Italy	PaduaWrap S.p.A.	Food & Beverage
Netherlands	DelftPack BV	Pharmaceuticals
Belgium	BrusselsPack NV	Chemicals
Poland	GliwicePak Sp. z o.o.	Electronics
Czech Republic	BrnoFlex s.r.o.	Automotive Parts
China	SpeedPack Ltd.	Food & Beverage
Vietnam	HoChiMinhFlex Co., Ltd.	Consumer Goods
Malaysia	KlangValleyPack Industries	Packaging Equipment
Canada	HamiltonWrap Inc.	Pharmaceuticals
USA	MissouriPack LLC	Industrial Manufacturing
UK	BrightonPack Ltd.	Chemicals
Ireland	MayoFlex Ltd.	Electronics
Germany	ErfurtFlex GmbH	Consumer Goods
France	AmiensPack S.A.	Industrial Manufacturing
Italy	FlorenceFlex S.p.A.	Food & Beverage
Netherlands	NijmegenPack BV	Pharmaceuticals
Belgium	GentPack NV	Chemicals
Poland	PłockPak Sp. z o.o.	Electronics
Czech Republic	ZlínWrap s.r.o.	Automotive Parts
China	EasyPack Ltd.	Food & Beverage
Vietnam	NhaTrangFlex Co., Ltd.	Consumer Goods
Malaysia	PeninsularPack Industries	Packaging Equipment
Canada	VernonPac Inc.	Pharmaceuticals
USA	ConnecticutPack LLC	Industrial Manufacturing
UK	ReadingPack Ltd.	Chemicals
Ireland	RoscommonFlex Ltd.	Electronics
Germany	MagdeburgPack GmbH	Consumer Goods
France	CannesFlex S.A.	Industrial Manufacturing
Italy	BolognaFlex S.p.A.	Food & Beverage
Netherlands	EindhovenFlex BV	Pharmaceuticals
Belgium	LiègePack NV	Chemicals
Poland	RadomPak Sp. z o.o.	Electronics
Czech Republic	Hradec KralovePack s.r.o.	Automotive Parts
China	LightPack Ltd.	Food & Beverage
Vietnam	Vũng TàuPack Co., Ltd.	Consumer Goods
Malaysia	SabahFlex Industries	Packaging Equipment
Canada	YellowknifeWrap Inc.	Pharmaceuticals
USA	NebraskaPack LLC	Industrial Manufacturing
UK	ExeterPack Ltd.	Chemicals
Ireland	LongfordFlex Ltd.	Electronics
Germany	BonnFlex GmbH	Consumer Goods
France	MetzPack S.A.	Industrial Manufacturing
Italy	RomePack S.p.A.	Food & Beverage
Netherlands	LeidenPack BV	Pharmaceuticals
Belgium	BrugesPack NV	Chemicals
Poland	WałbrzychPak Sp. z o.o.	Electronics
Czech Republic	LiberecPack s.r.o.	Automotive Parts
China	NextPack Ltd.	Food & Beverage
Vietnam	Đồng NaiPack Co., Ltd.	Consumer Goods
Malaysia	KuchingPack Industries	Packaging Equipment
Canada	WhitehorsePac Inc.	Pharmaceuticals
USA	MinnesotaFlex LLC	Industrial Manufacturing
UK	SouthamptonPack Ltd.	Chemicals
Ireland	WestmeathFlex Ltd.	Electronics
Germany	DortmundPack GmbH	Consumer Goods
France	LyonFlex S.A.	Industrial Manufacturing
Italy	TurinWrap S.p.A.	Food & Beverage
Netherlands	MaastrichtPack BV	Pharmaceuticals
Belgium	GhentPack NV	Chemicals
Poland	OpolePak Sp. z o.o.	Electronics
Czech Republic	OlomoucFlex s.r.o.	Automotive Parts
China	FastPack Ltd.	Food & Beverage
Vietnam	HanoiFlex Co., Ltd.	Consumer Goods
Malaysia	MiriPack Industries	Packaging Equipment
Canada	SaintJohnWrap Inc.	Pharmaceuticals
USA	OhioFlex LLC	Industrial Manufacturing
UK	ManchesterFlex Ltd.	Chemicals
Ireland	CorkWrap Ltd.	Electronics
Germany	StuttgartFlex GmbH	Consumer Goods
France	ParisPack S.A.	Industrial Manufacturing
Italy	PisaFlex S.p.A.	Food & Beverage
Netherlands	AmsterdamFlex BV	Pharmaceuticals
Belgium	BrusselsWrap NV	Chemicals
Poland	LublinPak Sp. z o.o.	Electronics
Czech Republic	PragueFlex s.r.o.	Automotive Parts
China	AlphaPack Ltd.	Food & Beverage
Vietnam	Sài GònPack Co., Ltd.	Consumer Goods
Malaysia	KualaLumpurFlex Industries	Packaging Equipment
Canada	CalgaryFlex Inc.	Pharmaceuticals
USA	FloridaWrap LLC	Industrial Manufacturing
UK	BristolWrap Ltd.	Chemicals
Ireland	DublinWrap Ltd.	Electronics
Germany	FrankfurtFlex GmbH	Consumer Goods
France	NiceFlex S.A.	Industrial Manufacturing
Italy	MilanFlex S.p.A.	Food & Beverage
Netherlands	RotterdamWrap BV	Pharmaceuticals
Belgium	AntwerpWrap NV	Chemicals
Poland	WarsawPack Sp. z o.o.	Electronics
Czech Republic	BrnoPack s.r.o.	Automotive Parts
China	BetaPack Ltd.	Food & Beverage
Vietnam	HueFlex Co., Ltd.	Consumer Goods
Malaysia	JohorFlex Industries	Packaging Equipment
Canada	TorontoPack Inc.	Pharmaceuticals
USA	GeorgiaFlex LLC	Industrial Manufacturing
UK	LondonFlex Ltd.	Chemicals
Ireland	GalwayWrap Ltd.	Electronics
Germany	HamburgPack GmbH	Consumer Goods
France	BordeauxFlex S.A.	Industrial Manufacturing
Italy	RomeWrap S.p.A.	Food & Beverage
Netherlands	UtrechtFlex BV	Pharmaceuticals
Belgium	GhentWrap NV	Chemicals
Poland	GdańskPak Sp. z o.o.	Electronics
Czech Republic	OlomoucPack s.r.o.	Automotive Parts
China	GammaPack Ltd.	Food & Beverage
Vietnam	Đà NẵngFlex Co., Ltd.	Consumer Goods
Malaysia	KedahFlex Industries	Packaging Equipment
Canada	MontrealFlex Inc.	Pharmaceuticals
USA	TexasFlex LLC	Industrial Manufacturing
UK	EdinburghFlex Ltd.	Chemicals
Ireland	DublinPack Ltd.	Electronics
Germany	MunichPack GmbH	Consumer Goods
France	MarseilleFlex S.A.	Industrial Manufacturing
Italy	NaplesFlex S.p.A.	Food & Beverage
Netherlands	EindhovenWrap BV	Pharmaceuticals
Belgium	BrusselsPack NV	Chemicals
Poland	PoznańPak Sp. z o.o.	Electronics
Czech Republic	PragueWrap s.r.o.	Automotive Parts
China	DeltaPack Ltd.	Food & Beverage
Vietnam	HoChiMinhPack Co., Ltd.	Consumer Goods
Malaysia	PenangFlex Industries	Packaging Equipment
Canada	VancouverFlex Inc.	Pharmaceuticals
USA	ArizonaFlex LLC	Industrial Manufacturing
UK	BelfastFlex Ltd.	Chemicals
Ireland	CorkWrap Ltd.	Electronics
Germany	BerlinFlex GmbH	Consumer Goods
France	StrasbourgFlex S.A.	Industrial Manufacturing
Italy	BolognaPack S.p.A.	Food & Beverage
Netherlands	RotterdamPac BV	Pharmaceuticals
Belgium	LiègeFlex NV	Chemicals
Poland	WrocławPak Sp. z o.o.	Electronics
Czech Republic	BrnoWrap s.r.o.	Automotive Parts
China	EpsilonPack Ltd.	Food & Beverage
Vietnam	NhaTrangFlex Co., Ltd.	Consumer Goods
Malaysia	KuantanPack Industries	Packaging Equipment
Canada	OttawaFlex Inc.	Pharmaceuticals
USA	OhioWrap LLC	Industrial Manufacturing
UK	CardiffFlex Ltd.	Chemicals
Ireland	WexfordWrap Ltd.	Electronics
Germany	FreiburgPack GmbH	Consumer Goods
France	DijonPack S.A.	Industrial Manufacturing
Italy	FlorencePack S.p.A.	Food & Beverage
Netherlands	AmsterdamPack BV	Pharmaceuticals
Belgium	BrugesFlex NV	Chemicals
Poland	KrakówPak Sp. z o.o.	Electronics
Czech Republic	PlzeňPack s.r.o.	Automotive Parts
China	ZetaPack Ltd.	Food & Beverage
Vietnam	CầnThơFlex Co., Ltd.	Consumer Goods
Malaysia	SelangorPack Industries	Packaging Equipment
Canada	QuebecFlex Inc.	Pharmaceuticals
USA	AlabamaFlex LLC	Industrial Manufacturing
UK	NewcastleFlex Ltd.	Chemicals
Ireland	GalwayPack Ltd.	Electronics
Germany	KarlsruheFlex GmbH	Consumer Goods
France	RennesPack S.A.	Industrial Manufacturing
Italy	PisaWrap S.p.A.	Food & Beverage
Netherlands	TheHagueFlex BV	Pharmaceuticals
Belgium	AntwerpPack NV	Chemicals
Poland	ŁódźPak Sp. z o.o.	Electronics
Czech Republic	OstravaPack s.r.o.	Automotive Parts
China	EtaPack Ltd.	Food & Beverage
Vietnam	Đồng NaiFlex Co., Ltd.	Consumer Goods
Malaysia	KualaLumpurPack Industries	Packaging Equipment
Canada	SaskatoonFlex Inc.	Pharmaceuticals
USA	MinnesotaWrap LLC	Industrial Manufacturing
UK	BirminghamFlex Ltd.	Chemicals
Ireland	DublinFlex Ltd.	Electronics
Germany	WürzburgPack GmbH	Consumer Goods
France	GrenobleFlex S.A.	Industrial Manufacturing
Italy	VenetianFlex S.p.A.	Food & Beverage
Netherlands	EnschedeFlex BV	Pharmaceuticals
Belgium	MechelenPack NV	Chemicals
Poland	SzczecinPak Sp. z o.o.	Electronics
Czech Republic	LiberecFlex s.r.o.	Automotive Parts
China	ThetaPack Ltd.	Food & Beverage
Vietnam	HueWrap Co., Ltd.	Consumer Goods
Malaysia	PahangPack Industries	Packaging Equipment
Canada	WinnipegFlex Inc.	Pharmaceuticals
USA	WisconsinFlex LLC	Industrial Manufacturing
UK	BournemouthFlex Ltd.	Chemicals
Ireland	CorkFlex Ltd.	Electronics
Germany	BremenPack GmbH	Consumer Goods
France	NantesFlex S.A.	Industrial Manufacturing
Italy	GenoaFlex S.p.A.	Food & Beverage
Netherlands	ZwolleFlex BV	Pharmaceuticals
Belgium	GentPack NV	Chemicals
Poland	KatowicePak Sp. z o.o.	Electronics
Czech Republic	Ústí nad LabemPack s.r.o.	Automotive Parts
China	IotaPack Ltd.	Food & Beverage
Vietnam	QuyNhơnFlex Co., Ltd.	Consumer Goods
Malaysia	PerakFlex Industries	Packaging Equipment
Canada	EdmontonFlex Inc.	Pharmaceuticals
USA	ArkansasFlex LLC	Industrial Manufacturing
UK	LeedsFlex Ltd.	Chemicals
Ireland	LimerickWrap Ltd.	Electronics
Germany	KasselFlex GmbH	Consumer Goods
France	OrléansPack S.A.	Industrial Manufacturing
Italy	TurinWrap S.p.A.	Food & Beverage
Netherlands	TilburgFlex BV	Pharmaceuticals
Belgium	LuxembourgFlex NV	Chemicals
Poland	BiałystokPak Sp. z o.o.	Electronics
Czech Republic	ZlínFlex s.r.o.	Automotive Parts
China	KappaPack Ltd.	Food & Beverage
Vietnam	Vũng TàuFlex Co., Ltd.	Consumer Goods
Malaysia	SabahPack Industries	Packaging Equipment
Canada	HalifaxFlex Inc.	Pharmaceuticals
USA	ConnecticutFlex LLC	Industrial Manufacturing
UK	NottinghamFlex Ltd.	Chemicals
Ireland	WaterfordPack Ltd.	Electronics
Germany	ErfurtPack GmbH	Consumer Goods
France	CannesPack S.A.	Industrial Manufacturing
Italy	BolognaWrap S.p.A.	Food & Beverage
Netherlands	NijmegenFlex BV	Pharmaceuticals
Belgium	BrugesPack NV	Chemicals
Poland	RadomPak Sp. z o.o.	Electronics
Czech Republic	Hradec KraloveWrap s.r.o.	Automotive Parts
China	LambdaPack Ltd.	Food & Beverage
Vietnam	NhaTrangPack Co., Ltd.	Consumer Goods
Malaysia	KelantanFlex Industries	Packaging Equipment
Canada	VernonFlex Inc.	Pharmaceuticals
USA	NebraskaFlex LLC	Industrial Manufacturing
UK	ExeterFlex Ltd.	Chemicals
Ireland	LongfordPack Ltd.	Electronics
Germany	BonnPack GmbH	Consumer Goods
France	MetzWrap S.A.	Industrial Manufacturing
Italy	RomePack S.p.A.	Food & Beverage
Netherlands	LeidenFlex BV	Pharmaceuticals
Belgium	LiègePack NV	Chemicals
Poland	WałbrzychPak Sp. z o.o.	Electronics
Czech Republic	LiberecPack s.r.o.	Automotive Parts
China	MuPack Ltd.	Food & Beverage
Vietnam	Đồng NaiPack Co., Ltd.	Consumer Goods
Malaysia	SarawakFlex Industries	Packaging Equipment
Canada	WhitehorseFlex Inc.	Pharmaceuticals
USA	MinnesotaPack LLC	Industrial Manufacturing
UK	SouthamptonFlex Ltd.	Chemicals
Ireland	WestmeathPack Ltd.	Electronics
Germany	DortmundFlex GmbH	Consumer Goods
France	LyonPack S.A.	Industrial Manufacturing
Italy	TurinFlex S.p.A.	Food & Beverage
Netherlands	MaastrichtFlex BV	Pharmaceuticals
Belgium	GhentPack NV	Chemicals
Poland	OpolePak Sp. z o.o.	Electronics
Czech Republic	OlomoucFlex s.r.o.	Automotive Parts
China	NuPack Ltd.	Food & Beverage
Vietnam	HanoiFlex Co., Ltd.	Consumer Goods
Malaysia	MiriPack Industries	Packaging Equipment
Canada	SaintJohnFlex Inc.	Pharmaceuticals
USA	OhioFlex LLC	Industrial Manufacturing
UK	ManchesterFlex Ltd.	Chemicals
Ireland	CorkFlex Ltd.	Electronics
Germany	StuttgartFlex GmbH	Consumer Goods
France	ParisFlex S.A.	Industrial Manufacturing
Italy	PisaFlex S.p.A.	Food & Beverage
Netherlands	AmsterdamFlex BV	Pharmaceuticals
Belgium	BrusselsPack NV	Chemicals
Poland	LublinPak Sp. z o.o.	Electronics
Czech Republic	PragueFlex s.r.o.	Automotive Parts
China	OmicronPack Ltd.	Food & Beverage
Vietnam	Sài GònFlex Co., Ltd.	Consumer Goods
Malaysia	KualaLumpurFlex Industries	Packaging Equipment
Canada	CalgaryFlex Inc.	Pharmaceuticals
USA	FloridaWrap LLC	Industrial Manufacturing
UK	BristolWrap Ltd.	Chemicals
Ireland	DublinWrap Ltd.	Electronics
Germany	FrankfurtFlex GmbH	Consumer Goods
France	NiceFlex S.A.	Industrial Manufacturing
Italy	MilanFlex S.p.A.	Food & Beverage
Netherlands	RotterdamWrap BV	Pharmaceuticals
Belgium	AntwerpWrap NV	Chemicals
Poland	WarsawPack Sp. z o.o.	Electronics
Czech Republic	BrnoPack s.r.o.	Automotive Parts
China	PiPack Ltd.	Food & Beverage
Vietnam	HueFlex Co., Ltd.	Consumer Goods
Malaysia	JohorFlex Industries	Packaging Equipment
Canada	TorontoPack Inc.	Pharmaceuticals
USA	GeorgiaFlex LLC	Industrial Manufacturing
UK	LondonFlex Ltd.	Chemicals
Ireland	GalwayWrap Ltd.	Electronics
USA	AlphaPac Solutions Inc.	Food & Beverage
Germany	BerlinWrap GmbH	Consumer Goods
China	ShenFlex Packaging Ltd.	Electronics
USA	BetaPack Technologies LLC	Pharmaceuticals
Germany	MunichFlex Industrie	Industrial Manufacturing
China	BeijingPack Co., Ltd.	Chemicals
USA	GreenBox Systems Inc.	Packaging Equipment
Germany	HamburgPack GmbH	Food & Beverage
China	SuzhouFlex Industries	Electronics
USA	PrimeWrap Corp.	Consumer Goods
Germany	FrankfurtPack AG	Pharmaceuticals
China	WuhanWrap Ltd.	Industrial Manufacturing
USA	NorthPac Innovations Inc.	Chemicals
Germany	KarlsruheFlex GmbH	Electronics
China	QingPack Group	Food & Beverage
USA	CentralPack Solutions LLC	Packaging Equipment
Germany	DresdenPack GmbH	Consumer Goods
China	ChengFlex Tech	Pharmaceuticals
USA	NextGen Packaging Inc.	Industrial Manufacturing
Germany	StuttgartWrap GmbH	Chemicals
China	GuangFlex International	Electronics
USA	BluePac Dynamics Corp.	Food & Beverage
Germany	BonnPack GmbH	Consumer Goods
China	XiAnPack Ltd.	Packaging Equipment
USA	QuickSeal Technologies LLC	Pharmaceuticals
Germany	LeipzigFlex GmbH	Industrial Manufacturing
China	NanjingWrap Co., Ltd.	Chemicals
USA	RiverPac Systems Inc.	Electronics
Germany	MannheimPack GmbH	Food & Beverage
China	HangzhouFlex Industries	Consumer Goods
USA	EcoPack Innovations Inc.	Packaging Equipment
Germany	FreiburgWrap GmbH	Pharmaceuticals
China	ChongqingPack Ltd.	Industrial Manufacturing
USA	SunsetPack Corp.	Chemicals
Germany	KasselFlex GmbH	Electronics
China	TianjinWrap Co., Ltd.	Food & Beverage
USA	NewEra Packaging LLC	Consumer Goods
Germany	RostockPack GmbH	Packaging Equipment
China	DongguanFlex Ltd.	Pharmaceuticals
USA	ApexPac Group Inc.	Industrial Manufacturing
Germany	WürzburgFlex GmbH	Chemicals
China	ShenzhenPack Tech	Electronics
USA	VistaPack Solutions Corp.	Food & Beverage
Germany	ErfurtPack GmbH	Consumer Goods
China	ChengduWrap Ltd.	Packaging Equipment
USA	PioneerWrap Technologies LLC	Pharmaceuticals
Germany	HeidelbergFlex GmbH	Industrial Manufacturing
China	NingboFlex Industries	Chemicals
USA	ZephyrPack Inc.	Electronics
Germany	AugsburgPack GmbH	Food & Beverage
China	JinanPack Co., Ltd.	Consumer Goods
USA	VertexPac Corp.	Packaging Equipment
Germany	KielFlex GmbH	Pharmaceuticals
China	FoshanWrap Ltd.	Industrial Manufacturing
USA	LibertyPack Solutions LLC	Chemicals
Germany	BielefeldPack GmbH	Electronics
China	YantaiFlex Co., Ltd.	Food & Beverage
USA	StrategicPack Inc.	Consumer Goods
Germany	MagdeburgFlex GmbH	Packaging Equipment
China	WuxiPack Industries	Pharmaceuticals
USA	EliteWrap Corp.	Industrial Manufacturing
Germany	IngolstadtPack GmbH	Chemicals
